Annee;COM;REG;DEP;ARR;CV;ZE1990;LIBGEO;PMIMP;PTSA;PPEN;PBEN;PAUT
2001;77349;11;77;771;7709;1156;Othis;83,19;86,68;10,69;1,61;1,03
2001;77350;11;77;775;7733;1135;Ozoir-la-Ferrière;79,11;79,57;12,51;5,07;2,85
2001;77352;11;77;772;7728;1135;Ozouer-le-Voulgis;;;;;
2001;77353;11;77;774;7716;1150;Paley;;;;;
2001;77354;11;77;772;7705;1148;Pamfou;;;;;
2001;77355;11;77;773;7710;1152;Paroy;;;;;
2001;77356;11;77;773;7701;1152;Passy-sur-Seine;;;;;
2001;77357;11;77;773;7723;1135;Pécy;;;;;
2001;77358;11;77;771;7717;1155;Penchard;;;;;
2001;77359;11;77;772;7732;1148;Perthes;;;;;
2001;77360;11;77;772;7727;1153;Pézarches;;;;;
2001;77361;11;77;771;7712;1155;Pierre-Levée;;;;;
2001;77363;11;77;775;7706;1136;Pin (Le);;;;;
2001;77364;11;77;771;7737;1155;Plessis-aux-Bois (Le);;;;;
2001;77365;11;77;772;7727;1135;Plessis-Feu-Aussoux (Le);;;;;
2001;77366;11;77;771;7709;1155;Plessis-l'Évêque (Le);;;;;
2001;77367;11;77;771;7715;1155;Plessis-Placy (Le);;;;;
2001;77368;11;77;773;7725;1152;Poigny;;;;;
2001;77369;11;77;771;7717;1155;Poincy;;;;;
2001;77370;11;77;774;7724;1150;Poligny;;;;;
2001;77371;11;77;771;7707;1153;Pommeuse;69,89;76,2;14,49;7,07;2,24
2001;77372;11;77;775;7714;1154;Pomponne;81,1;67,36;13,5;9,39;9,75
2001;77373;11;77;775;7740;1135;Pontault-Combault;77,22;81,49;12,32;4,34;1,85
2001;77374;11;77;775;7733;1135;Pontcarré;;;;;
2001;77376;11;77;771;7737;1154;Précy-sur-Marne;;;;;
2001;77377;11;77;772;7728;1135;Presles-en-Brie;;;;;
2001;77378;11;77;772;7732;1147;Pringy;81,47;77,67;16,25;5,26;0,82
2001;77379;11;77;773;7725;1152;Provins;54,87;64,65;23,72;7,16;4,47
2001;77380;11;77;771;7715;1155;Puisieux;;;;;
2001;77381;11;77;772;7722;1148;Quiers;;;;;
2001;77382;11;77;771;7708;1155;Quincy-Voisins;79,34;77,9;13,9;5,91;2,3
2001;77383;11;77;773;7723;1148;Rampillon;;;;;
2001;77384;11;77;772;7741;1148;Réau;;;;;
2001;77385;11;77;771;7726;1153;Rebais;58,62;63,75;23,51;9,59;3,14
2001;77386;11;77;774;7703;1149;Recloses;;;;;
2001;77387;11;77;774;7716;1150;Remauville;;;;;
2001;77388;11;77;771;7712;1155;Reuil-en-Brie;;;;;
2001;77389;11;77;772;7719;1148;Rochette (La);80,9;56,33;28,28;9,38;6,01
2001;77390;11;77;775;7733;1135;Roissy-en-Brie;74,87;82,4;13,04;3,09;1,47
2001;77391;11;77;773;7725;1152;Rouilly;;;;;
2001;77392;11;77;771;7709;1156;Rouvres;;;;;
2001;77393;11;77;772;7727;1135;Rozay-en-Brie;72,1;69,08;17,06;9,02;4,84
2001;77394;11;77;772;7718;1148;Rubelles;;;;;
2001;77395;11;77;774;7703;1149;Rumont;;;;;
2001;77396;11;77;773;7729;1152;Rupéreux;;;;;
2001;77397;11;77;771;7712;1155;Saâcy-sur-Marne;;;;;
2001;77398;11;77;771;7726;1153;Sablonnières;;;;;
2001;77399;11;77;774;7716;1149;Saint-Ange-le-Viel;;;;;
2001;77400;11;77;771;7707;1153;Saint-Augustin;;;;;
2001;77401;11;77;771;7712;1155;Sainte-Aulde;;;;;
2001;77402;11;77;773;7711;1153;Saint-Barthélemy;;;;;
2001;77403;11;77;773;7725;1152;Saint-Brice;;;;;
